year,rubric,cells,matched,differ,rust_blank,perl_blank,empty,pass_rate
1976,"Tridentine - 1570",2928,2925,0,0,1,2,99.97%
1976,"Tridentine - 1910",2928,2925,0,0,1,2,99.97%
1976,"Divino Afflatu - 1939",2928,2925,0,0,1,2,99.97%
1976,"Reduced - 1955",2928,2925,0,0,0,3,100.00%
1976,"Rubrics 1960 - 1960",2928,2925,0,0,0,3,100.00%
1977,"Tridentine - 1570",2920,2917,0,0,1,2,99.97%
1977,"Tridentine - 1910",2920,2917,0,0,1,2,99.97%
1977,"Divino Afflatu - 1939",2920,2917,0,0,1,2,99.97%
1977,"Reduced - 1955",2920,2917,0,0,0,3,100.00%
1977,"Rubrics 1960 - 1960",2920,2912,5,0,0,3,99.83%
1978,"Tridentine - 1570",2920,2917,0,0,1,2,99.97%
1978,"Tridentine - 1910",2920,2917,0,0,1,2,99.97%
1978,"Divino Afflatu - 1939",2920,2917,0,0,1,2,99.97%
1978,"Reduced - 1955",2920,2917,0,0,0,3,100.00%
1978,"Rubrics 1960 - 1960",2920,2917,0,0,0,3,100.00%
1979,"Tridentine - 1570",2920,2917,0,0,1,2,99.97%
1979,"Tridentine - 1910",2920,2915,2,0,1,2,99.90%
1979,"Divino Afflatu - 1939",2920,2917,0,0,1,2,99.97%
1979,"Reduced - 1955",2920,2916,1,0,0,3,99.97%
1979,"Rubrics 1960 - 1960",2920,2917,0,0,0,3,100.00%
1980,"Tridentine - 1570",2928,2925,0,0,1,2,99.97%
1980,"Tridentine - 1910",2928,2925,0,0,1,2,99.97%
1980,"Divino Afflatu - 1939",2928,2923,2,0,1,2,99.90%
1980,"Reduced - 1955",2928,2919,6,0,0,3,99.80%
1980,"Rubrics 1960 - 1960",2928,2923,2,0,0,3,99.93%
1981,"Tridentine - 1570",2920,2917,0,0,1,2,99.97%
1981,"Tridentine - 1910",2920,2917,0,0,1,2,99.97%
1981,"Divino Afflatu - 1939",2920,2917,0,0,1,2,99.97%
1981,"Reduced - 1955",2920,2917,0,0,0,3,100.00%
1981,"Rubrics 1960 - 1960",2920,2917,0,0,0,3,100.00%
1982,"Tridentine - 1570",2920,2916,1,0,1,2,99.93%
1982,"Tridentine - 1910",2920,2917,0,0,1,2,99.97%
1982,"Divino Afflatu - 1939",2920,2917,0,0,1,2,99.97%
1982,"Reduced - 1955",2920,2917,0,0,0,3,100.00%
1982,"Rubrics 1960 - 1960",2920,2917,0,0,0,3,100.00%
1983,"Tridentine - 1570",2920,2917,0,0,1,2,99.97%
1983,"Tridentine - 1910",2920,2917,0,0,1,2,99.97%
1983,"Divino Afflatu - 1939",2920,2917,0,0,1,2,99.97%
1983,"Reduced - 1955",2920,2917,0,0,0,3,100.00%
1983,"Rubrics 1960 - 1960",2920,2912,5,0,0,3,99.83%
1984,"Tridentine - 1570",2928,2925,0,0,1,2,99.97%
1984,"Tridentine - 1910",2928,2924,1,0,1,2,99.93%
1984,"Divino Afflatu - 1939",2928,2925,0,0,1,2,99.97%
1984,"Reduced - 1955",2928,2924,1,0,0,3,99.97%
1984,"Rubrics 1960 - 1960",2928,2925,0,0,0,3,100.00%
1985,"Tridentine - 1570",2920,2917,0,0,1,2,99.97%
1985,"Tridentine - 1910",2920,2917,0,0,1,2,99.97%
1985,"Divino Afflatu - 1939",2920,2916,1,0,1,2,99.93%
1985,"Reduced - 1955",2920,2917,0,0,0,3,100.00%
1985,"Rubrics 1960 - 1960",2920,2915,2,0,0,3,99.93%
1986,"Tridentine - 1570",2920,2917,0,0,1,2,99.97%
1986,"Tridentine - 1910",2920,2917,0,0,1,2,99.97%
1986,"Divino Afflatu - 1939",2920,2915,2,0,1,2,99.90%
1986,"Reduced - 1955",2920,2911,6,0,0,3,99.79%
1986,"Rubrics 1960 - 1960",2920,2915,2,0,0,3,99.93%
1987,"Tridentine - 1570",2920,2917,0,0,1,2,99.97%
1987,"Tridentine - 1910",2920,2917,0,0,1,2,99.97%
1987,"Divino Afflatu - 1939",2920,2917,0,0,1,2,99.97%
1987,"Reduced - 1955",2920,2917,0,0,0,3,100.00%
1987,"Rubrics 1960 - 1960",2920,2917,0,0,0,3,100.00%
1988,"Tridentine - 1570",2928,2925,0,0,1,2,99.97%
1988,"Tridentine - 1910",,,,,,,
